company,Company_Status,location,location_Status,industry,Industry_Status,total_laid_off,layoffs_Status,percentage_laid_off,Percentage_Status,date,Date_Status,year,Year_Status,Month,Month_Status,stage,country,funds_raised_millions,Funds_Status
ADROLL,Reported,SALT LAKE CITY,Reported,MARKETING,Reported,210,Reported,0.3,Reported,31/03/2020,Reported,2020,Reported,3,Reported,SERIES C,UNITED STATES,89,Reported
ADVATA,Reported,SEATTLE,Reported,HEALTHCARE,Reported,32,Reported,0.21,Reported,28/10/2022,Reported,2022,Reported,10,Reported,\N,UNITED STATES,0,missing
ADWERX,Reported,DURHAM,Reported,MARKETING,Reported,40,Reported,0,missing,07/07/2022,Reported,2022,Reported,7,Reported,UNKNOWN,UNITED STATES,20,Reported
AFFIRM,Reported,SF BAY AREA,Reported,FINANCE,Reported,0,missing,0.01,Reported,03/11/2022,Reported,2022,Reported,11,Reported,POST-IPO,UNITED STATES,1500,Reported
AFFIRM,Reported,SF BAY AREA,Reported,FINANCE,Reported,500,Reported,0.19,Reported,08/02/2023,Reported,2023,Reported,2,Reported,POST-IPO,UNITED STATES,1500,Reported
AFTERVERSE,Reported,BRASILIA,Reported,CONSUMER,Reported,60,Reported,0.2,Reported,03/06/2022,Reported,2022,Reported,6,Reported,UNKNOWN,BRAZIL,0,missing
AGODA,Reported,SINGAPORE,Reported,TRAVEL,Reported,1500,Reported,0.25,Reported,18/05/2020,Reported,2020,Reported,5,Reported,ACQUIRED,SINGAPORE,0,missing
AHEAD,Reported,SF BAY AREA,Reported,HEALTHCARE,Reported,44,Reported,1,Reported,14/04/2022,Reported,2022,Reported,4,Reported,UNKNOWN,UNITED STATES,9,Reported
AIR,Reported,NEW YORK CITY,Reported,MARKETING,Reported,0,missing,0.16,Reported,16/09/2020,Reported,2020,Reported,9,Reported,SERIES A,UNITED STATES,18,Reported
AIRBNB,Reported,SF BAY AREA,Reported,unknown,missing,30,Reported,0,missing,03/03/2023,Reported,2023,Reported,3,Reported,POST-IPO,UNITED STATES,6400,Reported
AIRBNB,Reported,SF BAY AREA,Reported,TRAVEL,Reported,1900,Reported,0.25,Reported,05/05/2020,Reported,2020,Reported,5,Reported,PRIVATE EQUITY,UNITED STATES,5400,Reported
AIRLIFT,Reported,LAHORE,Reported,LOGISTICS,Reported,0,missing,0.31,Reported,25/05/2022,Reported,2022,Reported,5,Reported,SERIES B,PAKISTAN,109,Reported
AIRLIFT,Reported,LAHORE,Reported,LOGISTICS,Reported,0,missing,1,Reported,12/07/2022,Reported,2022,Reported,7,Reported,SERIES B,PAKISTAN,109,Reported
AIRMAP,Reported,LOS ANGELES,Reported,AEROSPACE,Reported,0,missing,0,missing,30/04/2020,Reported,2020,Reported,4,Reported,UNKNOWN,UNITED STATES,75,Reported
AIRTABLE,Reported,SF BAY AREA,Reported,PRODUCT,Reported,254,Reported,0.2,Reported,08/12/2022,Reported,2022,Reported,12,Reported,SERIES F,UNITED STATES,1400,Reported
AIRTAME,Reported,COPENHAGEN,Reported,CONSUMER,Reported,15,Reported,0,missing,15/06/2022,Reported,2022,Reported,6,Reported,UNKNOWN,DENMARK,7,Reported
AIRTASKER,Reported,SYDNEY,Reported,CONSUMER,Reported,0,missing,0,missing,04/07/2022,Reported,2022,Reported,7,Reported,SERIES C,AUSTRALIA,26,Reported
AIRTIME,Reported,NEW YORK CITY,Reported,CONSUMER,Reported,30,Reported,0.2,Reported,23/05/2022,Reported,2022,Reported,5,Reported,SERIES B,UNITED STATES,33,Reported
AIRY ROOMS,Reported,JAKARTA,Reported,TRAVEL,Reported,0,missing,0.7,Reported,22/04/2020,Reported,2020,Reported,4,Reported,UNKNOWN,INDONESIA,0,missing
AIRY ROOMS,Reported,JAKARTA,Reported,TRAVEL,Reported,0,missing,1,Reported,07/05/2020,Reported,2020,Reported,5,Reported,UNKNOWN,INDONESIA,0,missing
AIVEN,Reported,HELSINKI,Reported,INFRASTRUCTURE,Reported,0,missing,0.2,Reported,18/01/2023,Reported,2023,Reported,1,Reported,SERIES D,FINLAND,420,Reported
AJAIB,Reported,JAKARTA,Reported,FINANCE,Reported,67,Reported,0.08,Reported,28/11/2022,Reported,2022,Reported,11,Reported,UNKNOWN,INDONESIA,245,Reported
AKERNA,Reported,DENVER,Reported,LOGISTICS,Reported,0,missing,0,missing,27/05/2022,Reported,2022,Reported,5,Reported,UNKNOWN,UNITED STATES,46,Reported
AKERNA,Reported,DENVER,Reported,LOGISTICS,Reported,0,missing,0,missing,02/09/2020,Reported,2020,Reported,9,Reported,POST-IPO,UNITED STATES,0,missing
AKILI LABS,Reported,BALTIMORE,Reported,HEALTHCARE,Reported,46,Reported,0.3,Reported,12/01/2023,Reported,2023,Reported,1,Reported,SEED,UNITED STATES,0,missing
AKULAKU,Reported,JAKARTA,Reported,FINANCE,Reported,100,Reported,0,missing,15/04/2020,Reported,2020,Reported,4,Reported,SERIES D,INDONESIA,160,Reported
ALAYACARE,Reported,MONTREAL,Reported,HEALTHCARE,Reported,80,Reported,0.14,Reported,16/08/2022,Reported,2022,Reported,8,Reported,SERIES D,CANADA,293,Reported
ALBERT,Reported,LOS ANGELES,Reported,FINANCE,Reported,20,Reported,0.08,Reported,10/06/2022,Reported,2022,Reported,6,Reported,SERIES C,UNITED STATES,175,Reported
ALEGION,Reported,AUSTIN,Reported,DATA,Reported,0,missing,0,missing,03/04/2020,Reported,2020,Reported,4,Reported,SERIES A,UNITED STATES,16,Reported
ALERZO,Reported,IBADAN,Reported,RETAIL,Reported,0,missing,0,missing,02/09/2022,Reported,2022,Reported,9,Reported,SERIES B,NIGERIA,16,Reported
ALERZO,Reported,IBADAN,Reported,RETAIL,Reported,400,Reported,0,missing,06/03/2023,Reported,2023,Reported,3,Reported,SERIES B,NIGERIA,16,Reported
ALICE,Reported,SAO PAULO,Reported,HEALTHCARE,Reported,63,Reported,0,missing,11/07/2022,Reported,2022,Reported,7,Reported,SERIES C,BRAZIL,174,Reported
